"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jun 04 11:09:35 CST 2020","Thu Jun 04 11:09:35 CST 2020","0","scripts","test_allure","TestAllure","","","test_login2",""
"passed","Thu Jun 04 11:09:35 CST 2020","Thu Jun 04 11:09:35 CST 2020","1","scripts","test_allure","TestAllure","","","test_login1",""
